nomeTesto,zona,NUTS_code,NUTS_level,designIniz,designFine,nomeAutCom,legNomeBre,legData,legLink,legSpecRif,legLivello,legGU_Link
Abruzzo,arancione,ITF1,2,1604966400000,24/11/2020,Ministero della Salute,Ordinanza 10/11/2020,1604966400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg
Abruzzo,rossa,ITF1,2,1606003200000,03/12/2020,Ministero della Salute,Ordinanza 20/11/2020,1605830400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77277,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/21/20A06467/sg
Abruzzo,rossa,ITF1,2,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77515,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06781/sg
Abruzzo,arancione,ITF1,2,1607817600000,26/12/2020,Ministero della Salute,Ordinanza 11/12/2020,1607644800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77661,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/12/20A06975/sg
Abruzzo,gialla,ITF1,2,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg
Abruzzo,arancione,ITF1,2,1610841600000,31/01/2021,Ministero della Salute,Ordinanza 16/01/2021,1610755200000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78457,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/16/21A00223/sg
Abruzzo,gialla,ITF1,2,1612137600000,05/03/2021,Presidente del Consiglio dei Ministri,DPCM 14/01/2021,1610668800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78456,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/15/21A00221/sg
Abruzzo,arancione,ITF1,2,1613260800000,28/02/2021,Ministero della Salute,Ordinanza 12/02/2021,1613088000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78805,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/02/13/21A00960/sg
Abruzzo,arancione,ITF1,2,1614556800000,15/03/2021,Ministero della Salute,Ordinanza 27/02/2021,1614384000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78998,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/02/28/21A01260/sg
Abruzzo,arancione,ITF1,2,1617667200000,06/04/2021,Presidente della Repubblica,DL 13/03/2021 n.30,1615593600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=79152,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/03/13/21G00040/sg
Abruzzo,arancione,ITF1,2,1617753600000,30/04/2021,Presidente della Repubblica,DL 01/04/2021 n.44,1617235200000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=79559,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/04/01/21G00056/sg
Abruzzo,gialla,ITF1,2,1619395200000,unknown,Ministero della Salute,Ordinanza 23/04/2021,1619136000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=79995,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/04/24/21A02503/sg
Abruzzo,bianca,ITF1,2,1623024000000,unknown,Ministero della Salute,Ordinanza 04/06/2021,1622764800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=80870,art.1 comma 11,regionale,https://www.gazzettaufficiale.it/eli/id/2021/06/05/21A03453/sg
Abruzzo,gialla,ITF1,2,1641772800000,24/01/2022,Ministero della Salute,Ordinanza 07/01/2022,1641513600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=84953,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2022/01/08/22A00098/sg
Abruzzo,arancione,ITF1,2,1642982400000,07/02/2022,Ministero della Salute,Ordinanza 21/01/2022,1642723200000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=85273,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2022/01/22/22A00552/sg
Abruzzo,arancione,ITF1,2,1644192000000,21/02/2022,Ministero della Salute,Ordinanza 04/02/2022,1643932800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=85658,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2022/02/05/22A00986/sg
Abruzzo,gialla,ITF1,2,1645401600000,07/03/2022,Ministero della Salute,Ordinanza 18/02/2022,1645142400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=85803,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2022/02/19/22A01283/sg
Abruzzo,bianca,ITF1,2,1646611200000,unknown,Ministero della Salute,Ordinanza 04/03/2022,1646352000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=86070,art.1 comma 11,regionale,https://www.gazzettaufficiale.it/eli/id/2022/03/05/22A01557/sg
Basilicata,arancione,ITF5,2,1604966400000,24/11/2020,Ministero della Salute,Ordinanza 10/11/2020,1604966400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg
Basilicata,arancione,ITF5,2,1606176000000,03/12/2020,Ministero della Salute,Ordinanza 24/11/2020,1606176000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77336,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/24/20A06541/sg
Basilicata,arancione,ITF5,2,1607212800000,20/12/2020,Ministero della Salute,Ordinanza 05/12/2020,1607126400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77515,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/05/20A06781/sg
Basilicata,gialla,ITF5,2,1607817600000,26/12/2020,Ministero della Salute,Ordinanza 11/12/2020,1607644800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77661,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/12/12/20A06975/sg
Basilicata,gialla,ITF5,2,1610236800000,15/01/2021,Presidente della Repubblica,DL 05/01/2021 n.1,1609804800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78114,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/05/21G00001/sg
Basilicata,gialla,ITF5,2,1610755200000,05/03/2021,Presidente del Consiglio dei Ministri,DPCM 14/01/2021,1610668800000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78456,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2021/01/15/21A00221/sg
Basilicata,rossa,ITF5,2,1614556800000,15/03/2021,Ministero della Salute,Ordinanza 27/02/2021,1614384000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78999,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2021/02/28/21A01261/sg
Basilicata,arancione,ITF5,2,1614556800000,15/03/2021,Ministero della Salute,Ordinanza 27/02/2021,1614384000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=78999,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/02/28/21A01261/sg
Basilicata,arancione,ITF5,2,1617667200000,06/04/2021,Presidente della Repubblica,DL 13/03/2021 n.30,1615593600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=79152,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/03/13/21G00040/sg
Basilicata,arancione,ITF5,2,1617753600000,30/04/2021,Presidente della Repubblica,DL 01/04/2021 n.44,1617235200000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=79559,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/04/01/21G00056/sg
Basilicata,arancione,ITF5,2,1619395200000,10/05/2021,Ministero della Salute,Ordinanza 23/04/2021,1619136000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=79996,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2021/04/24/21A02504/sg
